"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1755127674023149763","Wed Feb 07 07:13:40 +0000 2024","1","haloo akuu open jasa bayar Duolingo English Test (DET) yaa. fee 3k-5k ajaa hasil tesnya bisa digunakan untuk iisma ict lpdp dan lain lain. t. pay jaspay joki co joki checkout payment #zonauang testi on pinned","1755127674023149763","","","in","","0","0","0","https://x.com/1011house/status/1755127674023149763","1617520146066857989","1011house"
"1755126748629409931","Wed Feb 07 07:10:00 +0000 2024","70","Cak imin menyebut penerima beasiswa LPDP rata-rata merupakan orang kaya. Dia janji akan menggeser para penerima LPDP agar dapat dinikmati secara merata oleh rakyat bukan hanya segelintir orang. #detikPemilu #WaktunyaMilih https://t.co/Ynz9bsbYTS","1755126748629409931","","","in","","0","1","8","https://x.com/detikcom/status/1755126748629409931","69183155","detikcom"
"1754764671993905438","Wed Feb 07 07:01:10 +0000 2024","0","@Fardhaaaano doain lolos lpdp periode ini yaaak","1755124528852930855","","","in","agak lasak","0","0","0","https://x.com/slowmerr/status/1755124528852930855","1200071195023949824","slowmerr"
"1755100341748850705","Wed Feb 07 06:51:38 +0000 2024","0","@tamexdoie Jaman aku masih ambis lpdp selalu nonton videonya zhafira bikin minder kaalo liat diaa https://t.co/koU8BiC4vq","1755122126410129793","","tamexdoie","in","","0","1","0","https://x.com/blessinjunee/status/1755122126410129793","1308959828467838976","blessinjunee"
"1606256704680710144","Wed Feb 07 06:40:35 +0000 2024","0","Testi 281 Open jasa bayar Duolingo English Test (DET) untuk IISMA ICT beasiswa LPDP Afirmasi atau beasiswa lain Respon cepat bisa langsung klik link di bio ya! https://t.co/SaVYTFIBKf","1755119346509291936","https://pbs.twimg.com/media/GFtvvOoagAAdNwo.jpg","inhere_kila","in","","0","1","0","https://x.com/inhere_kila/status/1755119346509291936","1542830422148534272","inhere_kila"
"1754861069112054015","Wed Feb 07 06:37:31 +0000 2024","2","LPDP niiih gaaas https://t.co/F9jok6k80j","1755118576980103385","","barbieburuh","und","Utrecht, The Netherlands","0","0","0","https://x.com/barbieburuh/status/1755118576980103385","68131264","barbieburuh"
"1754577261750366372","Wed Feb 07 06:30:46 +0000 2024","0","@sarahjanettra @DS_yantie @kejuuu_juran cuma org gabisa nalar yg gangerti maksud gue apa dgn nyebut itu program baru dan program lanjutan. noh mending suruh bowo benahi iisma lpdp bidik misi dsb. sebelum dia ngasih program baru mengenai beasiswa pendidikan ke luar negri. 02 kosong dua duanya. ga capres ga pendukung.","1755116876978663515","","sarahjanettra","in","","0","1","0","https://x.com/jyankirstein/status/1755116876978663515","1500149246955515904","jyankirstein"
"1754791817521070546","Wed Feb 07 06:28:10 +0000 2024","0","@zuppamisscoth engga rop temen gua tapi buanyakkk bet disituu bisa jadi ada yg sekelas sama lu wkwkw joki TOEFL buat LPDP ","1755116222671421541","","zuppamisscoth","in","","0","1","0","https://x.com/rofifadillah/status/1755116222671421541","1086225360","rofifadillah"
"1755115646562754590","Wed Feb 07 06:25:53 +0000 2024","0","Pada usia 26 th gue mulai merasa ada yg ngajak pdkt tp krn gue goblok jadi ya gue tetap ga peka dan terus menjomblo. Pada saat gue lpdp (svaha) gue pun masih jomblo ga ada cinlok²an sama bule ga selera juga. Umur 27-30 baru deh gue jatuh cinta lagi tp kayaknya masih ttp jomblo","1755115648303198456","","matchaugm","in","","0","1","0","https://x.com/matchaugm/status/1755115648303198456","1673959168523513856","matchaugm"
"1606256704680710144","Wed Feb 07 06:18:53 +0000 2024","0","Testi 280 Open jasa bayar Duolingo English Test (DET) untuk IISMA ICT beasiswa LPDP Afirmasi atau beasiswa lain Respon cepat bisa langsung klik link di bio ya! https://t.co/CGWQXQTjfr","1755113885844242797","https://pbs.twimg.com/media/GFtqxa-aIAAs22J.jpg","inhere_kila","in","","0","1","0","https://x.com/inhere_kila/status/1755113885844242797","1542830422148534272","inhere_kila"
"1755111121890230345","Wed Feb 07 06:07:54 +0000 2024","1","haloo akuu open jasa bayar Duolingo English Test (DET) yaa. fee 3k-5k ajaa hasil tesnya bisa digunakan untuk iisma ict lpdp dan lain lain. t. pay jaspay joki co joki checkout #zonauang testi on pinned","1755111121890230345","","","in","","0","0","0","https://x.com/1011house/status/1755111121890230345","1617520146066857989","1011house"
"1755111062347960829","Wed Feb 07 06:07:40 +0000 2024","1","Muhammadiyah bersikap netral aktif di Pilpres 2024 #SukseskanPemilu2024 Ahok Rishi Sunak TOEFL Yeyen Jateng Selen Mirip Bahlil INTP ISTJ INFJ LPDP Ketua KPU DKPP https://t.co/RegOKavo2f","1755111062347960829","https://pbs.twimg.com/ext_tw_video_thumb/1755110949906976768/pu/img/-ONy9Jt5OQZ3aQM9.jpg","","in","","0","0","0","https://x.com/DedroinT37173/status/1755111062347960829","1709446133989392384","DedroinT37173"
